"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"NOP53",1.6916817,1.6791394,0.9687805,1.2131344,1.307444,1.0187249,2.2996463,0.9997318,2.8341072,0.8397916
"EMP3",1.0768535,1.3601497,0.497561,2.3298115,1.1806774,1.5693268,2.133319,0.4202199,2.1626214,1.5817393
"CD37",3.41862568,1.98503274,0.13170732,1.55422339,2.12128411,0.08203299,1.94427178,0.07562349,2.04685521,0.05286597
"FCGRT",0.380651,2.5163704,2.3043902,3.7299368,4.4140168,0.8345965,0.4325367,0.2968624,0.3036091,0.4303885
"KLK6",0.0009041591,0,0.0019512195,0.0070057527,0.0019188596,0.0049041462,0.0024649019,3.5223920622,0.0008442381,0.0171070795
"NKG7",0.49005425,0.31805426,0.08780488,0.15728769,0.08762792,0.03432902,8.652556,0.04344328,0.6574504,0.01906264
"FPR1",0.07866184,1.09915809,0.07414634,1.33576351,1.6492751,0.039679,0.04211767,0.04049343,0.02648797,0.01856964
"LAIR1",0.11663653,0.59027128,0.06926829,1.26465228,1.28746345,0.04190816,0.13299754,0.04800215,0.13592233,0.02479787
"TTYH1",0.03887884,0.01870907,0.08097561,0.05339751,0.0280519,0.73205528,0.03440146,1.53472781,0.054981,2.61822126
"LILRB4",0.1437613,0.68007484,0.05658537,1.06797858,1.80397173,0.04725814,0.04018862,0.05443819,0.03303081,0.02254651
"FKBP1A",0.5207957,1.5893358,6.6497561,1.8104175,1.2781128,1.9647793,1.1877612,0.8449987,1.2205572,1.8084204
"DSTN",0.517179,0.7801684,4.2273171,0.7849291,0.688231,5.7035221,0.9795306,3.0906409,1.0010553,3.1932886
"RRBP1",1.4638336,0.6585594,1.4595122,0.8066868,0.8485928,2.3321444,0.334798,1.9160633,0.320916,1.1467002
"CD93",0.0840868,0.73807297,4.30536585,1.61303184,0.69995736,0.06197058,0.05337049,0.03083937,0.04685521,0.01965424
